Applications,Accept,Enroll,F_Undergrad,Grad_Rate
1660,1232,721,2885,60
2186,1924,512,2683,56
1428,1097,336,1036,54
417,349,137,510,59
193,146,55,249,15
587,479,158,678,55
353,340,103,416,63
1899,1720,489,1594,73
1038,839,227,973,80
582,498,172,799,52
1732,1425,472,1830,73
2652,1900,484,1707,76
1179,780,290,1130,74
1267,1080,385,1306,68
494,313,157,1317,55
1420,1093,220,1018,69
4302,992,418,1593,100
1216,908,423,1819,59
1130,704,322,1586,46
3540,2001,1016,4190,34
713,661,252,712,48
7313,4664,1910,9940,70
619,516,219,1251,65
12809,10308,3761,22593,48
708,334,166,530,54
1734,1729,951,3602,48
2135,1700,491,1708,88
7548,6791,3070,16262,69
662,513,257,2074,58
1879,1658,497,1950,71
761,725,306,1337,69
948,798,295,1120,71
627,556,172,777,48
602,483,206,958,65
1690,1366,662,2718,85
261,192,111,453,71
1910,838,285,1004,79
2496,1402,531,2121,91
990,784,279,1811,72
6075,5349,2367,9919,72
1163,850,348,878,73
807,707,308,1198,84
632,494,129,709,52
1220,974,481,1964,49
1320,923,284,1085,69
1208,877,546,3796,46
632,620,222,702,58
519,327,114,457,55
3466,2330,640,3095,82
1858,1221,480,1620,63
878,816,200,706,48
202,184,122,537,56
502,384,104,347,35
1646,1150,542,2128,58
805,588,287,1376,72
500,336,156,421,51
6773,3028,1025,5847,75
377,358,181,653,53
692,514,209,760,58
20192,13007,3810,14971,72
3356,1019,418,1490,96
9251,7333,3076,13699,67
443,330,151,453,46
3767,3414,1061,4531,85
4186,2743,740,2819,84
367,274,158,917,49
1436,1228,1202,1320,18
392,351,155,738,58
838,673,292,881,82
7365,5402,4615,27378,33
12586,3239,1462,5643,97
1465,810,313,1088,89
6548,3813,862,3316,93
860,688,285,1928,78
2362,2037,700,2607,83
599,494,224,1035,71
1011,604,213,693,55
563,247,247,1427,60
7811,3817,1650,12911,59
4540,3294,1483,13494,61
1784,1512,913,3401,81
2087,1339,657,3191,63
848,587,298,935,49
2853,2193,753,2978,64
1747,1382,449,1662,83
100,90,35,282,52
2694,1579,489,1870,91
8728,5201,1191,4265,74
1160,991,352,1357,79
1096,951,464,1776,67
1616,1427,434,1405,62
3877,3156,713,3051,67
1257,940,363,1547,79
1083,880,291,915,55
1754,1465,505,2159,75
3847,3433,527,1010,118
776,607,198,791,74
1307,1090,616,2196,64
369,312,90,396,24
495,434,210,775,66
601,396,203,525,47
1283,1113,401,1355,67
4158,2532,902,6394,49
4681,4101,1436,8094,50
2785,2011,1007,6507,51
174,146,88,1047,58
1013,888,288,943,74
959,771,351,1662,47
212,197,91,471,52
342,254,126,518,73
81,72,51,139,58
880,520,224,1068,63
883,766,428,2910,48
1196,697,499,959,21
1860,767,227,887,87
2887,2059,457,1928,79
460,340,167,604,74
2174,1953,557,2332,77
8065,5257,2301,11755,73
689,561,250,1125,46
1006,742,275,1127,67
604,452,295,690,75
2848,1319,456,1720,91
4856,2492,727,2649,93
1432,888,317,1121,96
4772,3140,1265,6851,51
798,620,238,1165,100
946,648,177,707,83
344,264,97,500,43
457,356,177,667,75
938,864,511,1715,72
511,411,186,1692,77
444,359,122,493,78
983,664,249,1698,64
546,447,189,873,80
141,118,55,201,76
672,596,278,1350,72
2994,1691,659,2675,95
7117,3106,1217,5186,93
2100,1883,553,1704,69
3207,1577,490,1892,84
9478,6312,2194,15646,59
314,158,132,690,37
737,614,242,968,76
6756,1930,871,3376,99
281,266,139,1049,45
232,216,106,534,42
688,497,144,641,55
528,403,186,1168,75
3035,1546,438,1630,91
440,407,149,643,75
1538,1329,383,1140,64
2967,2836,876,3450,85
1576,1110,274,992,51
995,789,398,1306,63
866,619,157,1074,46
504,482,185,550,54
585,508,153,460,72
8587,2273,1087,3918,98
2373,956,452,1601,94
571,461,174,645,56
967,945,459,2806,58
2762,2279,533,1835,81
1994,1656,495,1983,82
3014,2539,487,1889,87
434,412,319,1376,46
1998,1376,651,1539,61
793,709,244,1022,60
360,329,108,756,54
604,562,328,1048,87
1011,829,410,1059,42
2799,2573,839,3322,77
2153,1580,321,1192,83
700,650,314,1065,67
13789,3893,1583,6188,97
1358,1006,274,1028,78
9274,6362,2435,13171,58
3330,2730,1303,6706,42
379,341,265,1050,38
458,369,165,1057,54
2172,1493,564,2766,50
5597,4253,1565,9161,76
486,440,227,903,82
516,409,200,1238,70
1422,1109,366,1363,59
2417,1843,426,1476,81
1457,1045,345,1109,64
245,208,125,544,86
3624,2786,858,2933,63
3151,2584,958,4772,44
765,646,226,809,82
8506,4168,1236,5544,96
1256,1256,853,3957,50
659,557,167,532,67
560,454,113,484,53
1801,1101,438,3065,68
4784,3346,781,2984,94
1455,1064,452,2632,24
1339,1107,336,1051,22
1415,714,338,1345,69
1947,1580,523,1863,57
3306,2079,1071,10208,66
1381,1040,374,1506,68
11651,8683,3023,18906,58
291,245,126,981,62
4200,2874,942,4740,80
3440,2823,1123,3793,46
1801,1655,819,3224,43
553,452,228,1301,83
804,632,281,840,60
5187,4471,446,1818,51
895,548,314,1174,62
346,274,146,704,54
2161,1951,685,2371,82
2464,1908,678,2693,65
1110,930,332,1603,29
668,534,237,1306,74
809,726,294,1271,52
5653,4326,1727,9528,46
7875,5062,1492,5471,72
727,693,286,1063,55
11115,2881,1390,5881,95
7837,4527,2276,8528,70
3793,2341,1238,7732,34
348,281,127,1095,76
3596,2466,575,1944,83
633,468,284,823,36
1886,1524,526,2523,69
674,565,282,1151,66
440,396,221,910,72
1151,813,248,850,77
548,428,167,618,64
555,414,242,996,47
5165,3887,1561,8234,57
780,628,198,545,76
608,494,176,649,39
510,387,194,771,60
2039,1389,432,1333,83
2491,1110,573,2213,100
1202,1054,326,1410,65
1709,1385,634,2281,80
380,237,104,716,96
3140,1783,454,1646,91
1006,825,328,1362,65
817,644,307,945,69
7178,3755,1433,4623,70
1006,837,317,1024,64
467,424,350,1365,38
1721,1068,806,3128,73
2083,1725,430,1464,73
13865,2165,1606,6862,100
1377,572,178,654,100
817,708,262,935,52
823,721,274,954,63
920,745,347,1133,79
922,729,244,1000,79
2688,2081,500,1792,79
7428,5860,1349,6534,60
602,498,215,795,72
699,565,176,710,72
1712,1483,624,2505,72
949,786,302,1210,67
608,520,127,538,44
450,430,125,488,47
600,197,124,392,21
723,652,361,951,84
607,558,269,1222,75
894,787,262,909,52
1756,1360,478,1911,56
8681,6695,2408,15701,54
3050,1342,471,1818,83
268,253,103,494,69
1163,927,386,1685,95
5659,4761,3147,8596,40
16587,13243,5873,24763,68
735,423,366,2448,34
4892,3530,913,3906,66
8427,7424,3441,18676,65
7259,5526,1368,5612,75
11223,5285,2082,9652,98
472,410,262,9950,54
2957,1423,691,3817,26
605,405,284,961,75
2421,2109,820,3168,89
8474,3446,911,3566,90
833,669,279,1224,36
313,228,137,552,56
1005,859,298,1075,80
5880,4075,2833,14914,54
589,575,148,474,68
3121,2446,822,3480,61
584,497,175,662,62
2212,1538,408,1445,88
461,381,174,738,51
1456,1053,381,500,87
355,300,142,509,65
1040,845,286,967,79
361,321,185,650,52
2929,1834,622,2738,84
4010,2402,572,2018,92
